iter	Passed	Remaining
975	2345	2461
976	2347	2458
977	2349	2455
978	2353	2454
979	2355	2451
980	2358	2449
981	2360	2447
982	2362	2444
983	2364	2441
984	2366	2438
985	2369	2436
986	2372	2434
987	2374	2431
988	2376	2429
989	2379	2427
990	2381	2424
991	2383	2422
992	2386	2420
993	2389	2417
994	2391	2415
995	2393	2413
996	2395	2410
997	2397	2407
998	2399	2404
999	2402	2402
1000	2404	2400
1001	2407	2397
1002	2409	2395
1003	2412	2392
1004	2414	2390
1005	2416	2388
1006	2419	2385
1007	2421	2383
1008	2423	2380
1009	2425	2377
1010	2427	2374
1011	2429	2372
1012	2431	2369
1013	2435	2368
1014	2437	2365
1015	2440	2363
1016	2442	2360
1017	2444	2357
1018	2446	2355
1019	2448	2352
1020	2451	2350
1021	2454	2348
1022	2456	2346
1023	2459	2343
1024	2461	2341
1025	2463	2338
1026	2466	2336
1027	2468	2333
1028	2470	2330
1029	2472	2328
1030	2474	2325
1031	2476	2323
1032	2479	2321
1033	2482	2319
1034	2484	2316
1035	2486	2314
1036	2489	2311
1037	2491	2309
1038	2494	2307
1039	2496	2304
1040	2498	2301
1041	2501	2299
1042	2503	2297
1043	2506	2294
1044	2508	2292
1045	2510	2289
1046	2512	2287
1047	2515	2285
1048	2517	2282
1049	2520	2280
1050	2522	2277
1051	2525	2275
1052	2527	2272
1053	2529	2270
1054	2531	2267
1055	2534	2265
1056	2536	2263
1057	2539	2261
1058	2541	2258
1059	2543	2255
1060	2545	2253
1061	2548	2251
1062	2551	2248
1063	2553	2246
1064	2556	2244
1065	2558	2241
1066	2560	2238
1067	2562	2236
1068	2564	2233
1069	2567	2231
1070	2569	2228
1071	2571	2226
1072	2575	2224
1073	2578	2222
1074	2581	2221
1075	2583	2218
1076	2586	2216
1077	2588	2213
1078	2590	2211
1079	2593	2209
1080	2595	2206
1081	2598	2204
1082	2600	2201
1083	2602	2198
1084	2604	2196
1085	2606	2193
1086	2608	2191
1087	2611	2188
1088	2614	2186
1089	2616	2184
1090	2618	2182
1091	2621	2179
1092	2623	2177
